1.86	20.5041	0.0754	-0.3466	0.375
1.87	20.7276	0.0752	-0.1948	0.1666
1.88	20.952	0.075	-0.2087	-0.1327
1.89	21.1773	0.0749	-0.2649	0.1519
1.9	21.4034	0.0747	-0.3869	0.6275
1.91	21.6304	0.0745	-0.2384	0.2826
1.92	21.8583	0.0743	-0.1094	-0.4659
1.93	22.0871	0.0741	-0.2169	-0.2183
1.94	22.3167	0.0739	-0.3605	0.5551
1.95	22.5471	0.0736	-0.5238	1.2088
1.96	22.7784	0.0734	-0.66	1.6257
1.97	23.0106	0.0731	-0.5452	1.1244
1.98	23.2436	0.0728	-0.372	0.1012
1.99	23.4774	0.0725	-0.3733	-0.1752
2.0	23.712	0.0722	-0.4035	0.0958
2.01	23.9475	0.0718	-0.4422	0.3544
2.02	24.1838	0.0715	-0.5549	0.7649
2.03	24.4209	0.0711	-0.3961	0.3911
2.04	24.6588	0.0707	-0.2987	-0.2555
2.05	24.8976	0.0703	-0.3116	-0.2284
2.06	25.1371	0.0699	-0.3201	0.0011
2.07	25.3775	0.0694	-0.069	-0.6448
2.08	25.6186	0.069	0.0628	-1.2948
2.09	25.8606	0.0686	0.3256	-1.8923
2.1	26.1033	0.0681	0.2775	-1.6863
2.11	26.3469	0.0677	0.1577	-0.707
2.12	26.5912	0.0673	0.275	-0.6391
2.13	26.8363	0.0669	0.4445	-1.277
2.14	27.0822	0.0666	0.605	-1.8062
2.15	27.3288	0.0662	0.6398	-1.7939
2.16	27.5762	0.0659	0.5015	-1.0308
2.17	27.8244	0.0656	0.3511	-0.1357
2.18	28.0734	0.0653	0.266	0.2896
2.19	28.3231	0.065	-0.0207	1.0527
2.2	28.5736	0.0647	-0.1235	1.4774
2.21	28.8248	0.0644	-0.1653	1.2231
2.22	29.0768	0.0641	-0.2466	1.084
2.23	29.3295	0.0638	-0.1071	0.4505
2.24	29.583	0.0635	-0.0471	-0.1888
2.25	29.8372	0.0632	-0.1072	-0.0772
2.26	30.0922	0.0629	-0.0992	0.0502
2.27	30.3478	0.0626	-0.0075	-0.2638
2.28	30.6042	0.0622	0.0613	-0.5879
2.29	30.8614	0.0619	-0.0156	-0.3273
2.3	31.1192	0.0616	-0.2364	0.5832
2.31	31.3777	0.0613	-0.3772	1.2667
2.32	31.637	0.0609	-0.2941	0.9021
2.33	31.8969	0.0606	-0.2873	0.4316
2.34	32.1576	0.0602	-0.3454	0.4945
2.35	32.4189	0.0598	-0.5312	1.0689
2.36	32.681	0.0594	-0.4771	1.0248
2.37	32.9437	0.059	-0.662	1.2145
2.38	33.2071	0.0586	-0.4646	0.735
2.39	33.4712	0.0581	-0.372	-0.0817
2.4	33.7359	0.0576	-0.5034	0.2734
2.41	34.0014	0.0571	-0.5841	0.8361
2.42	34.2675	0.0566	-0.4926	0.589
2.43	34.5342	0.0561	-0.3893	0.0249
2.44	34.8016	0.0555	-0.4594	0.1421
2.45	35.0697	0.055	-0.266	-0.2024
2.46	35.3384	0.0544	0.0035	-1.2419
2.47	35.6077	0.0538	0.1599	-1.787
2.48	35.8777	0.0532	0.3476	-2.0448
2.49	36.1483	0.0527	0.5858	-2.4897
2.5	36.4196	0.0521	0.831	-2.9754
2.51	36.6915	0.0516	0.9423	-2.9788
2.52	36.964	0.0512	0.79	-1.9688
2.53	37.2371	0.0507	0.6523	-0.8194
2.54	37.5108	0.0503	0.5065	-0.0802
2.55	37.7852	0.0499	0.2131	0.88
2.56	38.0601	0.0495	0.1164	1.2791
2.57	38.3356	0.0491	0.0771	0.9915
2.58	38.6117	0.0488	-0.1829	1.3821
2.59	38.8885	0.0484	-0.1018	1.1394
2.6	39.1657	0.048	-0.0204	0.2783
2.61	39.4436	0.0476	-0.069	0.1182
2.62	39.722	0.0472	0.0305	-0.1425
2.63	40.001	0.0468	-0.1634	0.2451
2.64	40.2806	0.0464	-0.2334	0.7711
2.65	40.5607	0.046	-0.3937	1.1384
2.66	40.8414	0.0456	-0.2625	0.7298
2.67	41.1226	0.0452	-0.3799	0.595
2.68	41.4044	0.0447	-0.4302	0.858
2.69	41.6867	0.0443	-0.3467	0.501
2.7	41.9695	0.0438	-0.271	0.0096
2.71	42.2528	0.0433	-0.1826	-0.3377
2.72	42.5367	0.0428	-0.2817	-0.0442
2.73	42.8211	0.0423	-0.1053	-0.2792
2.74	43.106	0.0418	-0.1842	-0.2762
2.75	43.3914	0.0413	-0.102	-0.2152
2.76	43.6773	0.0408	0.0445	-0.7266
2.77	43.9637	0.0402	-0.0554	-0.4817
2.78	44.2506	0.0397	0.0683	-0.4725
2.79	44.5379	0.0392	0.0924	-0.6653
2.8	44.8258	0.0387	0.2098	-0.8715
2.81	45.1142	0.0382	0.2339	-0.9497
2.82	45.403	0.0377	0.3902	-1.2164
2.83	45.6923	0.0372	0.461	-1.448
2.84	45.9821	0.0367	0.5707	-1.5619
2.85	46.2724	0.0363	0.4098	-0.9413
2.86	46.5631	0.0359	0.2294	0.0949
2.87	46.8543	0.0355	0.1554	0.5086
2.88	47.146	0.035	0.1402	0.3974
2.89	47.4382	0.0346	0.0707	0.3817
2.9	47.7308	0.0342	0.0342	0.4095
2.91	48.0239	0.0338	0.0974	0.0759
2.92	48.3175	0.0334	-0.1841	0.6848
2.93	48.6115	0.033	-0.2201	1.1168
2.94	48.906	0.0326	-0.2739	0.9532
2.95	49.2009	0.0322	-0.5068	1.4498
2.96	49.4963	0.0317	-0.7741	2.3037
2.97	49.7922	0.0313	-0.7059	1.9873
2.98	50.0885	0.0308	-0.5686	0.893
2.99	50.3852	0.0302	-0.4026	-0.0423
3.0	50.6825	0.0297	-0.3532	-0.3773
3.01	50.9801	0.0292	-0.1344	-0.8728
3.02	51.2782	0.0286	-0.1247	-0.9692
3.03	51.5768	0.028	-0.1822	-0.411
3.04	51.8757	0.0275	-0.256	0.1307
3.05	52.1752	0.0269	-0.4579	0.9025
3.06	52.475	0.0263	-0.3926	0.9023
3.07	52.7753	0.0257	-0.5701	1.0706
3.08	53.0761	0.0251	-0.6611	1.47
